노드 ID,정류소번호,정류소명,X좌표,Y좌표,정류소 타입
100000001,1001,종로2가사거리,126.987752,37.569808,중앙차로
100000002,1002,창경궁.서울대학교병원,126.996566,37.57918302,중앙차로
100000003,1003,명륜3가.성대입구,126.998251,37.582581,중앙차로
100000004,1004,종로2가.삼일교,126.9876131,37.56857927,중앙차로
100000005,1005,혜화동로터리.여운형활동터,127.001744,37.586243,중앙차로
101000305,1006,서대문역사거리,126.966893,37.566137,중앙차로
100000380,1007,서울역사박물관.경희궁앞,126.97038,37.569135,중앙차로
100000379,1008,서울역사박물관.경희궁앞,126.97076,37.569515,중앙차로
100000384,1009,광화문,126.976357,37.570142,중앙차로
100000385,1010,광화문,126.9780855,37.57021681,중앙차로
100000386,1011,종로1가,126.9810661,37.57014825,중앙차로
100000387,1012,종로1가,126.98163,37.570271,중앙차로
100000388,1013,종로2가,126.984991,37.57017,중앙차로
100000389,1014,종로2가,126.986536,37.570238,중앙차로
100000390,1015,종로3가.탑골공원,126.9895647,37.57024498,중앙차로
100000391,1016,종로3가.탑골공원,126.9899878,37.57036054,중앙차로
100000392,1017,종로4가.종묘,126.9947219,37.570507,중앙차로
100000393,1018,종로4가.종묘,126.9952838,37.57062711,중앙차로
100000394,1019,종로5가.광장시장,126.9988498,37.57075679,중앙차로
100000395,1020,종로5가.광장시장,126.9993346,37.57088063,중앙차로
100000396,1021,종로6가.동대문종합시장,127.0047701,37.57092208,중앙차로
100000397,1022,종로6가.동대문종합시장,127.0057137,37.57112723,중앙차로
100000398,1023,동대문역.흥인지문,127.013813,37.572449,중앙차로
100000365,1037,동대문(흥인지문),127.012453,37.572102,중앙차로
100000366,1041,동묘앞,127.0184085,37.57377866,중앙차로
100000367,1044,동묘앞,127.019672,37.57424345,중앙차로
100000006,1101,경기상고,126.9693635,37.58755022,일반차로
100000007,1102,신교동,126.9702627,37.58329552,일반차로
100000008,1103,경기상고,126.9697701,37.58719079,일반차로
100000009,1104,경복고교,126.970884,37.58516,일반차로
100000010,1105,청운중학교,126.9725135,37.58785196,일반차로
100000011,1106,자하문고개.윤동주문학관,126.9671262,37.59218662,일반차로
100000012,1107,자하문고개.윤동주문학관,126.9671907,37.59233532,일반차로
100000013,1108,청운중학교,126.9724613,37.58812858,일반차로
100000014,1109,경복고교,126.971404,37.585067,일반차로
100000015,1110,통인시장종로구보건소,126.97105,37.5803257,일반차로
100000016,1111,통인시장종로구보건소,126.9713851,37.58051321,일반차로
100000017,1112,효자동,126.970621,37.58309104,일반차로
100000018,1113,사직단.어린이도서관,126.9679907,37.57513553,일반차로
100000019,1114,경복궁역1번출구,126.9713245,37.57618346,일반차로
100000020,1115,경복궁역,126.972196,37.57686669,일반차로
100000021,1116,경복궁역,126.9722829,37.57767139,일반차로
100000022,1117,경복궁,126.9787471,37.57557679,일반차로
100000023,1118,KT광화문지사,126.9774187,37.57220974,일반차로
100000415,1119,국립고궁박물관,126.9740463,37.57879663,일반차로
100000025,1120,광화문,126.9763839,37.5698454,일반차로
100000026,1121,광화문.금호아시아나본관앞,126.9741676,37.57004915,일반차로
100000027,1122,서울역사박물관.경교장.강북삼성병원,126.9713911,37.56970191,일반차로
100000028,1123,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,일반차로
100000029,1124,광화문.금호아시아나본관앞,126.972839,37.570332,일반차로
100000030,1125,광화문,126.975837,37.570365,일반차로
100000031,1126,세종문화회관,126.9768571,37.57359001,일반차로
100000032,1127,서울경찰청.경복궁역,126.9714843,37.57574466,일반차로
100000033,1128,사직단,126.968189,37.57485535,일반차로
100000034,1129,광화문.광화문빌딩,126.976545,37.569495,일반차로
100000035,1130,덕성여중고,126.982017,37.57590175,일반차로
100000036,1131,안국역.서울공예박물관,126.9839958,37.57606956,일반차로
100000037,1132,국민은행세검정지점,126.960888,37.60466298,일반차로
100000038,1133,세검정초등학교,126.9612198,37.60250228,일반차로
100000039,1134,세검정.상명대,126.9587224,37.6007326,일반차로
100000040,1135,상명대입구.석파랑,126.9585702,37.59941335,일반차로
100000041,1136,하림각,126.9617068,37.59813307,일반차로
100000042,1137,자하문터널입구.석파정,126.9636435,37.59559351,일반차로
100000043,1138,부암동주민센터.무계원,126.9639574,37.59273806,일반차로
100000044,1139,부암동주민센터.무계원,126.9651419,37.59278617,일반차로
100000045,1140,자하문터널입구.석파정,126.9639776,37.59555757,일반차로
100000046,1141,하림각,126.9622153,37.59814765,일반차로
