addr,x,y
서울특별시 강남구 개포동 1164-12,127.052951796944,37.4731883366443
서울특별시 강남구 개포동 1164-13,127.053095775644,37.4732831484008
서울특별시 강남구 개포동 1164-14,127.053239867821,37.4733780500302
서울특별시 강남구 개포동 1164-20,127.054105785138,37.4739474554573
서울특별시 강남구 개포동 1164-25,127.054819119153,37.4743931266036
서울특별시 강남구 개포동 1164-28,127.055195184196,37.4746248714865
서울특별시 강남구 개포동 1164-30,127.054793428818,37.4748196766062
서울특별시 강남구 개포동 1164-7,127.052232361406,37.4727147255079
서울특별시 강남구 개포동 1165,127.053744366261,37.4741096219942
서울특별시 강남구 개포동 1167,127.052379105594,37.4732111171489
서울특별시 강남구 개포동 12,127.075215384158,37.4941848052621
서울특별시 강남구 개포동 12-2,127.07662539762,37.4962962191107
서울특별시 강남구 개포동 1204-5,127.050374468179,37.4773499664347
서울특별시 강남구 개포동 1242-2,127.046060238589,37.4798752738734
서울특별시 강남구 개포동 1260-11,127.048893398601,37.479366416797
서울특별시 강남구 개포동 1260-2,127.048780998132,37.4795090930094
서울특별시 강남구 개포동 1260-4,127.049129808384,37.4795458898623
서울특별시 강남구 개포동 1280,127.064886971612,37.4811712758974
서울특별시 강남구 개포동 1282,127.054256523217,37.4783842282264
서울특별시 강남구 개포동 138,,
서울특별시 강남구 개포동 140,,
서울특별시 강남구 개포동 141,127.061614360667,37.4784893722905
서울특별시 강남구 개포동 166-4,127.06129010887,37.4829142156404
서울특별시 강남구 개포동 172-3,127.05996521015,37.4843082150406
서울특별시 강남구 개포동 176-1,127.060267689899,37.4872993181442
서울특별시 강남구 개포동 177,127.060955866212,37.4878922787897
서울특별시 강남구 개포동 179,127.06238827098,37.4881845388175
서울특별시 강남구 개포동 185,127.071667715752,37.4888762938306
서울특별시 강남구 개포동 187,127.068503584968,37.4876228868467
서울특별시 강남구 개포동 189,127.073168875585,37.4863309275682
서울특별시 강남구 개포동 649,127.054173895409,37.4845150908032
서울특별시 강남구 개포동 651-1,127.057251233763,37.4848296233372
서울특별시 강남구 개포동 652,127.056013870468,37.4839732673555
서울특별시 강남구 개포동 653,127.054425938151,37.4826695293008
서울특별시 강남구 개포동 654,127.05125279339,37.4824775018158
서울특별시 강남구 개포동 655-1,127.052680230811,37.4816930864641
서울특별시 강남구 개포동 655-2,127.053098618368,37.4814556635509
서울특별시 강남구 개포동 655-3,127.053242990059,37.4811256491278
서울특별시 강남구 개포동 656,127.053931131334,37.4763198941657
서울특별시 강남구 개포동 658-1,127.05721239635,37.4761560791019
서울특별시 강남구 논현동 102-9,127.039926597698,37.5192642680945
서울특별시 강남구 논현동 103,127.038130798745,37.5196304885538
서울특별시 강남구 논현동 103-11,127.038855917118,37.5196769241913
서울특별시 강남구 논현동 104-23,127.038729352996,37.5190520300025
서울특별시 강남구 논현동 105,127.036575387431,37.5193540121054
서울특별시 강남구 논현동 105-3,127.037506973191,37.5187805017392
서울특별시 강남구 논현동 105-4,127.037147426481,37.5207174115373
서울특별시 강남구 논현동 107-44,127.037353905421,37.5178343166064
서울특별시 강남구 논현동 108,127.038029751138,37.5184527297989
서울특별시 강남구 논현동 108-2,127.037938034272,37.5180481187196
서울특별시 강남구 논현동 109-9,127.038679415312,37.5187311991331
서울특별시 강남구 논현동 114-23,127.036867067567,37.5171763766843
서울특별시 강남구 논현동 118-8,127.039686366862,37.517191140506
서울특별시 강남구 논현동 122-25,127.024279867707,37.510410481927
서울특별시 강남구 논현동 138-9,127.026107250464,37.5102383607112
서울특별시 강남구 논현동 16-42,127.02123522347,37.5149360015659
서울특별시 강남구 논현동 180-6,127.02798899993,37.5075670814778
서울특별시 강남구 논현동 192-1,127.032518185674,37.5082151855981
서울특별시 강남구 논현동 192-3,127.032832479505,37.5081771663548
서울특별시 강남구 논현동 194-22,127.030695812734,37.5072073586217
서울특별시 강남구 논현동 194-23,127.030728694661,37.5076852430998
서울특별시 강남구 논현동 195-1,127.028750012694,37.5068623128038
서울특별시 강남구 논현동 196,127.02763715364,37.5063698187338
서울특별시 강남구 논현동 196-4,127.028318140351,37.5067123096831
서울특별시 강남구 논현동 205-2,127.030395375198,37.5068232477705
서울특별시 강남구 논현동 211-21,127.034968900437,37.5138352212455
서울특별시 강남구 논현동 212-13,127.034141126794,37.5135186704047
서울특별시 강남구 논현동 212-20,127.034163070105,37.5130223009263
서울특별시 강남구 논현동 214-2,127.032722616686,37.5127472718024
서울특별시 강남구 논현동 215-14,127.032274587099,37.512471958099
서울특별시 강남구 논현동 216-1,127.032382365395,37.5121776606279
서울특별시 강남구 논현동 217-34,127.033808397796,37.512605778667
서울특별시 강남구 논현동 22,127.022668627156,37.5147157100303
서울특별시 강남구 논현동 221-7,127.033523881412,37.5097162486159
서울특별시 강남구 논현동 222-18,127.034151967894,37.5102532476079
서울특별시 강남구 논현동 225-6,127.035945387383,37.5105418478107
서울특별시 강남구 논현동 228-9,127.033824285793,37.5089630131846
서울특별시 강남구 논현동 229-13,127.034116562952,37.5092525120379
서울특별시 강남구 논현동 241-1,127.040139165715,37.5165525364258
서울특별시 강남구 논현동 245,127.038136684255,37.5147469578798
서울특별시 강남구 논현동 252,127.038773139566,37.5140424359451
서울특별시 강남구 논현동 252-1,127.0387752587,37.5135472434716
서울특별시 강남구 논현동 258,127.038369354075,37.5125350078397
서울특별시 강남구 논현동 261,127.036310564022,37.5116244730877
서울특별시 강남구 논현동 261-7,127.036581681377,37.5118552267313
서울특별시 강남구 논현동 261-8,127.036768629442,37.5115866694087
서울특별시 강남구 논현동 267-18,127.042251417128,37.5126509937507
서울특별시 강남구 논현동 267-23,127.042350688146,37.5123828193652
서울특별시 강남구 논현동 268-12,127.042826352879,37.5112727007244
서울특별시 강남구 논현동 271-6,127.040215613045,37.5112487507156
서울특별시 강남구 논현동 274,127.038198973038,37.5106817873212
서울특별시 강남구 논현동 275,127.037651943453,37.5103565201441
서울특별시 강남구 논현동 276,,
서울특별시 강남구 논현동 276-1,127.038954823034,37.5095251011602
서울특별시 강남구 논현동 39-10,127.027326050567,37.5148369905894
서울특별시 강남구 논현동 43-3,127.024197894222,37.5132996591111
서울특별시 강남구 논현동 44-6,127.023917900591,37.5131518613692
서울특별시 강남구 논현동 44-8,127.023728343344,37.5135540177143
서울특별시 강남구 논현동 44-9,127.023644470738,37.5137285590121
서울특별시 강남구 논현동 46-2,127.02290266257,37.5132582008641
서울특별시 강남구 논현동 46-3,127.022956777829,37.5130484366055
서울특별시 강남구 논현동 47-11,127.022638672818,37.5129105542708
서울특별시 강남구 논현동 53-1,127.02312286754,37.5124618505028
서울특별시 강남구 논현동 55,127.023887299356,37.512603426344
서울특별시 강남구 논현동 58-2,127.028885611445,37.513885429675
서울특별시 강남구 논현동 62-3,127.032215511612,37.5202894417201
서울특별시 강남구 논현동 79-5,127.031313245747,37.5164543837056
서울특별시 강남구 논현동 79-7,127.031301274267,37.5170406698756
서울특별시 강남구 논현동 80-13,127.030587070884,37.5162258992764
서울특별시 강남구 논현동 9-2,127.026882085288,37.5176731815421
서울특별시 강남구 대치동 1007-1,127.066665955068,37.5046685493635
서울특별시 강남구 대치동 1007-2,127.066698269824,37.5042524468818
서울특별시 강남구 대치동 1009-4,127.068102983477,37.5015805244455
서울특별시 강남구 대치동 1014-1,127.057527197163,37.497024894675
서울특별시 강남구 대치동 1014-3,127.058401866149,37.4963870034067
서울특별시 강남구 대치동 1015-6,127.058493076688,37.497049918867
서울특별시 강남구 대치동 1016-2,127.060116831654,37.4975707864425
서울특별시 강남구 대치동 1017-1,127.060428125006,37.4973904263451
